CONCURSO,F_1_9,F_10_19,F_20_29,F_30_39,F_40_49,F_50_56
3008,3,1,0,2,0,0
3007,0,0,1,1,2,2
3006,1,0,0,1,2,2
3005,0,1,1,1,2,1
3004,1,0,1,1,3,0
3003,2,1,1,2,0,0
3002,0,1,1,2,1,1
3001,2,0,2,0,1,1
3000,0,0,2,1,1,2
2999,3,0,1,1,0,1
2998,1,0,2,1,2,0
2997,1,2,0,0,1,2
2996,0,1,2,1,2,0
2995,1,2,1,0,2,0
2994,2,1,1,1,1,0
2993,0,1,1,2,1,1
2992,2,0,0,1,1,2
2991,0,2,1,1,1,1
2990,0,1,1,1,3,0
2989,1,0,1,1,2,1
2988,1,0,0,1,3,1
2987,0,0,1,1,2,2
2986,0,0,2,1,1,2
2985,2,0,2,1,1,0
2984,1,2,1,0,2,0
2983,2,2,0,1,0,1
2982,1,1,1,0,1,2
2981,1,0,2,1,1,1
2980,2,0,2,0,1,1
2979,0,4,0,0,1,1
2978,1,1,0,0,3,1
2977,1,3,0,1,0,1
2976,1,2,1,1,0,1
2975,0,1,3,0,2,0
2974,1,1,1,2,0,1
2973,1,3,0,0,2,0
2972,0,0,1,2,2,1
2971,2,0,1,0,2,1
2970,1,1,0,1,2,1
2969,1,2,1,1,1,0
2968,0,2,1,1,2,0
2967,2,0,2,1,1,0
2966,2,1,1,1,1,0
2965,2,0,1,2,0,1
2964,2,0,0,2,1,1
2963,0,3,0,1,2,0
2962,1,3,0,1,1,0
2961,1,1,1,1,1,1
2960,0,1,3,0,2,0
2959,0,2,1,1,2,0
2958,1,0,2,1,1,1
